"","state","name","region","division","capital","area","population"
"1","AK","Alaska","West","Pacific","Juneau","589757","710231"
"2","AL","Alabama","South","East South Central","Montgomery","51609","4779736"
"3","AR","Arkansas","South","West South Central","Little Rock","53104","2915918"
"4","AZ","Arizona","West","Mountain","Phoenix","113909","6392017"
"5","CA","California","West","Pacific","Sacramento","158693","37253956"
"6","CO","Colorado","West","Mountain","Denver","104247","5029196"
"7","CT","Connecticut","Northeast","New England","Hartford","5009","3574097"
"8","DC","District of Columbia","South","South Atlantic",NA,"68.3","601723"
"9","DE","Delaware","South","South Atlantic","Dover","2057","897934"
"10","FL","Florida","South","South Atlantic","Tallahassee","58560","18801310"
"11","GA","Georgia","South","South Atlantic","Atlanta","58876","9687653"
"12","HI","Hawaii","West","Pacific","Honolulu","6450","1360301"
"13","IA","Iowa","Midwest","West North Central","Des Moines","56290","3046355"
"14","ID","Idaho","West","Mountain","Boise","83557","1567582"
"15","IL","Illinois","Midwest","East North Central","Springfield","56400","12830632"
"16","IN","Indiana","Midwest","East North Central","Indianapolis","36291","6483802"
"17","KS","Kansas","Midwest","West North Central","Topeka","82264","2853118"
"18","KY","Kentucky","South","East South Central","Frankfort","40395","4339367"
"19","LA","Louisiana","South","West South Central","Baton Rouge","48523","4533372"
"20","MA","Massachusetts","Northeast","New England","Boston","8257","6547629"
"21","MD","Maryland","South","South Atlantic","Annapolis","10577","5773552"
"22","ME","Maine","Northeast","New England","Augusta","33215","1328361"
"23","MI","Michigan","Midwest","East North Central","Lansing","58216","9883640"
"24","MN","Minnesota","Midwest","West North Central","Saint Paul","84068","5303925"
"25","MO","Missouri","Midwest","West North Central","Jefferson City","69686","5988927"
"26","MS","Mississippi","South","East South Central","Jackson","47716","2967297"
"27","MT","Montana","West","Mountain","Helena","147138","989415"
"28","NC","North Carolina","South","South Atlantic","Raleigh","52586","9535483"
"29","ND","North Dakota","Midwest","West North Central","Bismarck","70665","672591"
"30","NE","Nebraska","Midwest","West North Central","Lincoln","77227","1826341"
"31","NH","New Hampshire","Northeast","New England","Concord","9304","1316470"
"32","NJ","New Jersey","Northeast","Mid-Atlantic","Trenton","7836","8791894"
"33","NM","New Mexico","West","Mountain","Santa Fe","121666","2059179"
"34","NV","Nevada","West","Mountain","Carson City","110540","2700551"
"35","NY","New York","Northeast","Mid-Atlantic","Albany","49576","19378102"
"36","OH","Ohio","Midwest","East North Central","Columbus","41222","11536504"
"37","OK","Oklahoma","South","West South Central","Oklahoma City","69919","3751351"
"38","OR","Oregon","West","Pacific","Salem","96981","3831074"
"39","PA","Pennsylvania","Northeast","Mid-Atlantic","Harrisburg","45333","12702379"
"40","RI","Rhode Island","Northeast","New England","Providence","1214","1052567"
"41","SC","South Carolina","South","South Atlantic","Columbia","31055","4625364"
"42","SD","South Dakota","Midwest","West North Central","Pierre","77047","814180"
"43","TN","Tennessee","South","East South Central","Nashville","42244","6346105"
"44","TX","Texas","South","West South Central","Austin","267339","25145561"
"45","UT","Utah","West","Mountain","Salt Lake City","84916","2763885"
"46","VA","Virginia","South","South Atlantic","Richmond","40815","8001024"
"47","VT","Vermont","Northeast","New England","Montpelier","9609","625741"
"48","WA","Washington","West","Pacific","Olympia","68192","6724540"
"49","WI","Wisconsin","Midwest","East North Central","Madison","56154","5686986"
"50","WV","West Virginia","South","South Atlantic","Charleston","24181","1852994"
"51","WY","Wyoming","West","Mountain","Cheyenne","97914","563626"
"52","AS","American Samoa",NA,NA,"Pago Pago","76.8","55519"
"53","GU","Guam",NA,NA,"Hagåtña","212","159358"
"54","MP","Northern Mariana Islands",NA,NA,"Saipan","179.01","53833"
"55","PR","Puerto Rico",NA,NA,"San Juan","3515","3725789"
"56","VI","U.S. Virgin Islands",NA,NA,"Charlotte Amalie","133.73","106405"
